University,SAT_Min,SAT_Max,SAT_Avg,ACT_Min,ACT_Max,ACT_Avg,Tuition_USD,Institution_Type,Deadline,Average_GPA,TOEFL_Min,IELTS_Min,Scholarship_Mentioned,Scholarship_Amount_Examples,Scholarship_Percentages,URL
University of Missouri System,933,1162,1062,20,27,23.5,15440,Public University,July 1,3.3,73,7.0,1.0,2139-9073,18.0,http://umsystem.edu/
Webster University,1006,1233,1145,23,28,27.5,30730,Private,June 1,3.56,84,6.5,1.0,7364-17090,33.0,http://webster.edu/
"Westminster College, Missouri",1112,1420,1271,22,32,28.0,53050,Private College,January 15,3.66,80,6.5,1.0,5335-10417,28.0,http://westminster-mo.edu/
Washington University in Saint Louis,968,1238,1119,20,27,23.5,13960,Public University,January 15,3.47,81,6.5,1.0,5871-9054,17.0,http://wustl.edu/
Alcorn State University,850,998,1039,19,24,20.5,8549,Public,Rolling,3.19,78,6.0,1.0,4401-7646,17.0,http://alcorn.edu/
Belhaven University,1098,1261,1190,17,26,23.5,29195,Public University,February 1,3.44,80,7.0,1.0,4193-9132,15.0,http://belhaven.edu/
Delta State University,940,1190,1091,18,29,21.5,8605,Public University,July 1,3.4,75,7.0,1.0,3717-9019,16.0,http://deltastate.edu/
East Mississippi Community College,895,1094,976,18,21,19.5,3950,Public Community College,Rolling,2.26,71,5.5,1.0,1462-2277,16.0,http://eastms.edu/
Jackson State University,850,1080,974,21,27,25.0,9090,Public University,March 1,3.23,81,6.0,1.0,5493-10901,23.0,http://jsums.edu/
Mississippi Gulf Coast Community College,898,1155,1028,17,24,19.5,3950,Public Community College,2025-12-06,2.23,68,5.5,1.0,1674-3375,11.0,http://mgccc.edu/
Mississippi State University,1068,1307,1190,20,26,23.0,7912,Public University,February 1,3.4,72,7.0,1.0,4653-6787,15.0,http://mssstate.edu/
Northeast Mississippi Community College,973,1119,1029,16,21,16.5,4770,Public Community College,Rolling,2.32,71,5.5,0.0,1731-3125,12.0,http://nemcc.edu/
The University of Mississippi,1053,1163,1101,17,29,25.0,13310,Public University,July 1,3.46,75,7.0,1.0,4860-9376,24.0,http://olemiss.edu/
Pearl River Community College,940,1047,994,15,21,20.0,3650,Public Community College,Rolling,2.68,65,5.5,1.0,1776-3288,15.0,http://prcc.edu/
Reformed Theological Seminary,923,1233,1072,17,29,25.0,10710,Public University,January 15,2.99,75,6.5,0.0,4752-9882,21.0,http://rts.edu/
University of Mississippi Medical Center,1008,1305,1144,18,28,21.0,15810,Public University,February 1,2.84,74,7.0,0.0,4388-7866,15.0,http://umc.edu/
University of Southern Mississippi,991,1302,1166,20,25,22.5,9618,Public University,March 1,2.82,71,6.0,1.0,3648-6218,17.0,http://usm.edu/
William Carey University,880,1200,1120,18,22,18.5,14685,Public University,June 1,3.07,76,6.5,1.0,3844-8575,24.0,http://wmcarey.edu/
Itawamba Community College,883,1131,1020,17,21,18.0,3420,Public Community College,Rolling,2.35,77,5.5,1.0,1189-2440,16.0,http://iccms.edu/
Blackfeet Community College,948,1165,1062,18,20,19.0,3610,Public Community College,2025-01-07,2.34,76,6.5,1.0,1382-2477,13.0,http://bfcc.edu/
Carroll College,1080,1330,1170,20,32,25.0,40352,Private College,February 1,3.39,84,7.0,1.0,5563-14957,33.0,http://carroll.edu/
Fort Peck Community College,797,1039,934,14,22,19.0,2250,Public Community College,January 15,2.36,78,6.0,1.0,1379-2207,10.0,http://fpcc.edu/
Flathead Valley Community College,915,1159,1039,16,23,17.5,4748,Public Community College,February 1,2.31,73,6.5,1.0,1542-3047,12.0,http://fvcc.edu/
Miles Community College,951,1150,1042,15,20,19.5,5648,Public Community College,July 1,2.52,76,6.5,1.0,1315-2179,16.0,http://milescc.edu/
Montana State University,1005,1150,1088,21,29,26.0,6706,Public University,July 1,3.26,83,7.0,1.0,3872-10164,15.0,http://montana.edu/
Montana State University Billings,1063,1185,1110,21,24,23.5,6706,Public University,Rolling,3.2,78,6.0,1.0,2092-7785,19.0,http://msubillings.edu/
Montana State University – Northern,1066,1304,1183,20,28,24.0,6269,Public University,Rolling,3.31,74,6.0,1.0,5773-11367,22.0,http://msun.edu/
Montana Tech of the University of Montana,930,1151,1030,18,22,18.5,160000,Public University,2025-08-01,3.03,84,7.0,1.0,5165-11895,20.0,http://mtech.edu/
Montana University System,1112,1247,1192,19,28,22.5,10380,Public University,June 1,3.3,74,6.5,1.0,3444-9837,23.0,http://mus.edu/
Rocky Mountain College,990,1240,1093,20,31,24.5,33252,Private College,Rolling,3.65,76,6.0,1.0,6511-10542,25.0,http://rocky.edu/
University of Montana Helena College,993,1231,1125,18,24,19.0,3975,Public University,February 1,3.22,78,7.0,1.0,5724-11344,24.0,http://umhelena.edu/
University of Montana,1072,1292,1168,20,25,22.5,6430,Public University,March 1,3.06,79,6.0,1.0,3134-8827,19.0,http://umt.edu/
University of Montana Western,943,1331,1156,18,24,19.0,6430,Public,Rolling,3.19,78,6.0,1.0,4352-9799,20.0,http://umwestern.edu/
Asheville-Buncombe Technical Community College,790,985,894,16,24,18.0,2882,Public Community College,2025-08-25,2.23,62,5.5,1.0,1584-2283,12.0,http://abtech.edu/
Alamance Community College,910,1122,1015,17,24,19.5,2528,Public Community College,March 1,2.56,68,5.5,1.0,1699-3349,15.0,http://alamancecc.edu/
Appalachian State University,1100,1280,1187,18,23,18.5,7541,Public University,2025-12-05,3.48,85,6.5,1.0,4386-11169,18.0,http://appstate.edu/
Bladen Community College,805,1026,922,14,21,18.5,2558,Public Community College,Rolling,2.23,77,5.5,0.0,1337-2366,10.0,http://bladencc.edu/
Body Therapy Institute,1079,1187,1138,20,23,21.5,10000,Public University,2025-12-07,3.05,77,6.5,1.0,4873-9895,20.0,http://bti.edu/
Campbell University,1020,1198,1124,19,22,19.5,40410,Public University,February 1,2.92,76,7.0,0.0,5567-10635,21.0,http://campbell.edu/
Cape Fear Community College,781,1000,872,15,24,21.5,2748,Public Community College,March 1,2.2,74,5.5,1.0,1027-2161,15.0,http://cfcc.edu/
Charlotte School of Law,1042,1344,1206,19,22,19.5,10000,Public University,Rolling,3.4,84,6.0,1.0,3526-9042,17.0,http://charlottelaw.edu/
Chowan University,880,1145,970,20,29,24.5,27110,Public University,January 15,3.19,75,6.5,1.0,4750-6970,15.0,http://chowan.edu/
Central Piedmont Community College,833,980,916,17,22,18.5,2792,Public Community College,2025-12-08,2.39,66,6.0,1.0,1284-2131,13.0,http://cpcc.edu/
Craven Community College,862,984,923,17,21,18.0,2022,Public Community College,Rolling,2.29,77,5.5,1.0,1378-2107,16.0,http://cravencc.edu/
Davidson College,1039,1266,1146,22,32,28.0,1978,Private College,Rolling,3.19,100,6.0,1.0,8802-17909,27.0,http://davidson.edu/
Duke University,1510,1570,1539,20,23,21.5,65805,Public University,2025-12-17,2.92,100,7.0,1.0,3659-7504,15.0,http://duke.edu/
Durham Technical Community College,902,1117,996,17,19,17.5,1986,Public Community College,June 1,2.24,69,6.0,1.0,1247-2729,11.0,http://durhamtech.edu/
Elizabeth City State University,933,1276,1100,21,29,26.0,3412,Public University,July 1,3.32,83,7.0,1.0,4473-9364,21.0,http://ecsu.edu/
East Carolina University,1050,1200,1143,19,22,19.5,7361,Public University,Rolling,3.5,76,6.0,0.0,3622-9213,18.0,http://ecu.edu/
Elon University,1143,1305,1222,18,27,20.5,44536,Public University,July 1,3.3,81,7.0,1.0,5500-10664,15.0,http://elon.edu/
Fayetteville Technical Community College,860,1005,932,16,22,17.0,2628,Public Community College,January 15,2.45,78,6.0,1.0,1443-2906,11.0,http://faytechcc.edu/
Forsyth Technical Community College,946,1137,1046,18,24,21.0,2256,Public Community College,2025-10-20,2.53,68,5.5,1.0,922-2639,15.0,http://forsythtech.edu/
Gardner-Webb University,1040,1260,1146,17,25,23.0,33450,Public University,January 15,3.03,71,6.5,1.0,4102-11098,23.0,http://gardner-webb.edu/
Gaston College,1077,1355,1199,22,28,26.0,3186,Private College,July 1,3.41,87,7.0,1.0,8723-14676,36.0,http://gaston.edu/
Guilford Technical Community College,793,1036,900,18,21,19.5,2319,Public Community College,Rolling,2.35,65,5.5,1.0,1142-2533,11.0,http://gtcc.edu/
Heritage Bible College,1090,1367,1244,20,28,23.0,8688,Private College,February 1,3.64,84,7.0,1.0,7427-15543,33.0,http://heritagebiblecollege.edu/
High Point University,991,1324,1150,17,28,24.5,20650,Public University,Rolling,2.84,82,6.0,1.0,3968-10645,18.0,http://highpoint.edu/
Isothermal Community College,947,1076,1024,18,22,20.0,2030,Public Community College,January 15,2.3,78,6.0,0.0,993-2429,16.0,http://isothermal.edu/
Lenoir Community College,932,1106,1029,15,19,18.5,2568,Public Community College,2025-12-06,2.6,75,6.0,1.0,1486-2738,12.0,http://lenoircc.edu/
Lees McRae College,1062,1306,1196,24,31,25.5,31140,Private College,June 1,3.23,90,6.5,1.0,8047-15466,39.0,http://lmc.edu/
Methodist University,1110,1220,1201,23,29,28.0,39664,Private University,June 1,3.43,78,6.5,0.0,6570-17844,27.0,http://methodist.edu/
The University of Mount Olive,921,1241,1070,17,25,23.0,7920,Public University,July 1,3.42,71,7.0,1.0,4308-7801,16.0,http://umo.edu/
Montgomery Community College,976,1219,1096,15,24,21.5,2538,Public Community College,March 1,2.53,74,5.5,1.0,1394-2305,11.0,http://montgomery.edu/
North Carolina Central University,980,1100,1023,18,25,19.5,6542,Public University,March 1,3.1,79,6.0,1.0,2376-6797,24.0,http://nccu.edu/
North Carolina School of Science and Mathematics,946,1232,1074,21,25,24.0,1495,Public University,March 1,3.42,79,6.0,0.0,2923-7023,17.0,http://ncssm.edu/
North Carolina State University,1300,1460,1380,18,29,21.5,8895,Public University,July 1,3.43,75,7.0,1.0,4715-7992,17.0,http://ncsu.edu/
North Carolina Wesleyan College,1150,1334,1247,20,26,22.0,38920,Private,February 1,3.43,84,7.0,1.0,7959-18292,33.0,http://ncwc.edu/
New Life Theological Seminary,1090,1232,1171,21,25,24.0,11010,Public University,March 1,3.05,71,6.0,0.0,4033-7968,18.0,http://nlts.edu/
University of North Carolina,1220,1360,1262,21,27,25.0,7317,Public,2025-05-23,3.15,73,7.0,1.0,3519-6472,17.0,http://northcarolina.edu/
Piedmont Community College,795,957,856,18,23,20.5,2022,Public Community College,February 1,2.25,67,6.5,1.0,837-2420,14.0,http://piedmontcc.edu/
Pitt Community College,797,962,880,15,19,18.5,1972,Public Community College,June 1,2.48,69,6.0,1.0,959-2421,10.0,http://pittcc.edu/
Queens University of Charlotte,1110,1300,1223,19,26,21.5,43285,Public University,2025-11-14,2.84,80,6.0,1.0,3620-10126,15.0,http://quinnipiac.edu/
Queens University of Charlotte,1110,1300,1223,19,26,21.5,43285,Public University,2025-11-14,2.84,80,6.0,1.0,3620-10126,15.0,http://queens.edu/
Randolph Community College,953,1087,1028,15,19,18.5,2416,Public Community College,June 1,2.24,63,6.0,1.0,1796-3424,14.0,http://randolph.edu/
Roanoke-Chowan Community College,845,1070,968,14,22,19.0,2642,Public Community College,January 15,2.42,66,6.0,1.0,1607-2261,14.0,http://roanokechowan.edu/
Salem College,1078,1315,1168,23,28,27.5,32236,Private College,June 1,3.66,82,6.5,1.0,8888-18614,31.0,http://salem.edu/
Sampson Community College,858,1071,980,18,23,20.5,2830,Public Community College,2025-12-05,2.58,67,6.5,1.0,1455-3216,16.0,http://sampsoncc.edu/
Sandhills Community College,931,1191,1049,18,24,21.0,2040,Public Community College,March 1,2.32,68,5.5,1.0,1222-2620,14.0,http://sandhills.edu/
Saint Andrews University,1100,1304,1189,17,25,23.0,1000,Public University,January 15,3.2,79,6.5,1.0,5555-11087,16.0,http://sapc.edu/
Southeastern Community College,814,992,917,15,21,20.0,2600,Public Community College,Rolling,2.38,71,5.5,1.0,1602-3264,16.0,http://sccnc.edu/
Southeastern Baptist Theological Seminary,920,1230,1090,21,31,26.0,10646,Private,February 1,3.44,88,7.0,1.0,6585-15523,37.0,http://sebts.edu/
Shaw University,1085,1170,1108,21,28,25.5,17176,Public University,June 1,3.33,82,6.5,1.0,3093-9633,25.0,http://shawu.edu/
Southwestern Community College,938,1168,1044,15,19,18.5,5806,Public Community College,June 1,2.39,69,6.0,1.0,1689-2318,12.0,http://swcciowa.edu/
Southwestern Community College,938,1168,1044,15,19,18.5,5806,Public Community College,June 1,2.39,69,6.0,0.0,1689-2318,12.0,http://southwesterncc.edu/
South Piedmont Community College,805,956,866,17,24,19.5,2022,Public,March 1,2.68,74,5.5,1.0,1253-2676,10.0,http://spcc.edu/
Stanly Community College,885,992,920,17,23,19.0,2672,Public Community College,February 1,2.22,67,6.5,1.0,1657-2794,15.0,http://stanly.edu/
Saint Augustine’s University,971,1180,1088,21,23,22.5,16896,Public University,January 15,2.92,77,6.5,1.0,3717-6528,17.0,http://st-aug.edu/
University of North Carolina at Chapel Hill,1370,1530,1454,21,23,22.5,8989,Public University,2025-01-01,3.41,77,6.5,1.0,5084-9713,23.0,http://unc.edu/
University of North Carolina Asheville,1170,1350,1247,21,24,23.5,7461,Public University,2025-11-01,3.08,78,6.0,1.0,3248-6511,18.0,http://unca.edu/
University of North Carolina Charlotte,1110,1320,1202,17,28,24.5,7214,Public,Rolling,2.95,74,6.0,1.0,2712-9587,18.0,http://uncc.edu/
University of North Carolina Greensboro,1100,1280,1187,18,25,19.5,7593,Public University,March 1,3.24,79,6.0,1.0,4436-11206,17.0,http://uncg.edu/
University of North Carolina Pembroke,930,1268,1086,21,28,25.5,3571,Public University,February 1,3.15,553,7.0,1.0,5084-11313,24.0,http://uncp.edu/
University of North Carolina School of the Arts,1150,1350,1250,17,24,22.5,9477,Public University,2025-12-12,3.35,78,6.5,1.0,2878-5737,18.0,http://uncsa.edu/
University of North Carolina Wilmington,1220,1360,1262,17,29,25.0,7317,Public University,July 1,3.49,83,7.0,1.0,5459-8880,23.0,http://uncw.edu/
Vance-Granville Community College,925,1046,968,14,21,18.5,1956,Public Community College,Rolling,2.68,65,5.5,1.0,1783-2560,15.0,http://vgcc.edu/
Wake Technical Community College,823,1008,910,17,24,19.5,2336,Public Community College,March 1,2.35,68,5.5,1.0,1595-3025,16.0,http://waketech.edu/
Warren Wilson College,1081,1340,1218,22,32,28.0,40290,Private College,July 1,3.62,89,7.0,1.0,7193-16209,38.0,http://warren-wilson.edu/
Western Carolina University,1050,1260,1151,19,27,22.0,4532,Public University,2025-04-01,3.21,79,6.0,1.0,2369-5990,24.0,http://wcu.edu/
Wake Forest University,1390,1510,1469,21,32,26.5,64758,Private,2025-01-01,3.61,89,6.0,1.0,5683-11640,38.0,http://wfu.edu/
Western Piedmont Community College,895,1091,1006,18,24,21.0,2650,Public Community College,March 1,2.26,74,5.5,1.0,1536-2567,13.0,http://wpcc.edu/
Winston-Salem State University,820,1050,946,17,23,22.0,6735,Public University,2025-12-01,2.93,85,6.5,1.0,2622-9423,17.0,http://wssu.edu/
Dakota College at Bottineau,1095,1348,1226,20,29,23.5,5347,Private College,January 15,3.27,79,6.5,0.0,6411-14262,28.0,http://dakotacollege.edu/
Mayville State University,1006,1321,1182,19,26,21.5,7935,Public University,2025-05-25,3.49,72,6.0,1.0,4271-6436,23.0,http://mayvillestate.edu/
Minot State University,930,1180,1084,19,29,23.0,8634,Public University,July 1,3.11,75,7.0,1.0,3483-5770,20.0,http://minotstateu.edu/
North Dakota State University,928,1267,1090,20,23,21.5,10857,Public University,2025-01-15,3.31,81,7.0,1.0,3811-6834,23.0,http://ndsu.edu/
North Dakota University System,1054,1265,1144,20,24,22.0,11760,Public University,Rolling,2.97,70,6.0,0.0,3818-10363,19.0,http://ndus.edu/
Turtle Mountain Community College,820,1005,892,14,24,20.0,2626,Public Community College,March 1,2.56,68,5.5,0.0,1140-2746,16.0,http://tm.edu/
University of North Dakota,1115,1239,1192,20,27,23.5,10857,Public University,January 15,2.85,81,6.5,1.0,5155-7486,21.0,http://und.edu/
United Tribes Technical College,1086,1352,1224,19,24,20.5,4252,Public Technical College,February 1,2.81,78,7.0,1.0,4690-8429,16.0,http://utcc.edu/
Valley City State University,953,1201,1067,17,29,25.0,8514,Public University,January 15,3.22,75,6.5,1.0,4914-8679,17.0,http://vcsu.edu/
Williston State College,931,1163,1045,20,29,24.5,4938,Public College,March 1,3.13,75,6.0,1.0,4936-11526,16.0,http://willistonstate.edu/
Bellevue University,972,1155,1054,19,27,22.0,8886,Public University,2025-06-02,3.01,73,7.0,1.0,4586-7623,20.0,http://bellevue.edu/
Bryan College of Health Sciences,1054,1320,1187,21,26,23.5,20070,Private College,Rolling,3.27,82,6.0,0.0,8882-20503,31.0,http://bryanhealth.com/
Creighton University,1210,1400,1296,19,23,20.0,47000,Public University,2025-12-09,3.43,85,6.5,1.0,2591-5933,16.0,http://creighton.edu/
Chadron State College,1090,1196,1125,20,24,22.0,8078,Public College,Rolling,3.07,78,6.0,1.0,3470-8236,23.0,http://csc.edu/
Concordia University Nebraska,1040,1235,1148,19,23,20.0,39330,Public University,January 15,3.11,85,6.5,1.0,4158-9615,20.0,http://cune.edu/
Joseph’s College,1020,1321,1168,21,27,24.0,20420,Private College,June 1,3.28,79,6.5,1.0,6300-12714,29.0,http://josephscollege.edu/
Little Priest Tribal College,1117,1260,1182,24,26,24.5,5400,Private College,March 1,3.26,81,6.0,1.0,6491-11224,30.0,http://littlepriest.edu/
Mid-Plains Community College,980,1120,1061,16,22,17.0,3600,Public Community College,January 15,2.33,72,6.0,1.0,1088-1912,13.0,http://mpcc.edu/
University of Nebraska,970,1150,1089,18,24,19.0,8302,Public University,June 1,3.43,78,6.5,1.0,4862-10463,20.0,http://nebraska.edu/
Northeast Community College,780,967,878,15,23,21.0,3840,Public Community College,February 1,2.64,647,6.5,1.0,1450-2868,11.0,http://northeast.edu/
Union College,1013,1222,1116,23,32,29.5,25630,Private College,January 15,3.27,79,6.5,1.0,8061-16230,28.0,http://ucollege.edu/
Union College,1013,1222,1116,23,32,29.5,25630,Private College,January 15,3.27,79,6.5,1.0,8061-16230,28.0,http://union.edu/
University of Nebraska at Kearney,970,1150,1089,19,23,20.0,8302,Public University,January 15,3.18,77,6.5,1.0,4381-8071,19.0,http://unk.edu/
University of Nebraska at Lincoln,1090,1330,1191,17,27,24.0,10108,Public University,January 15,2.98,81,6.5,1.0,2473-7645,18.0,http://unl.edu/
University of Nebraska Medical Center,994,1294,1134,20,22,21.0,9030,Public University,Rolling,3.03,76,6.0,1.0,3104-7927,19.0,http://unmc.edu/
University of Nebraska Omaha,1107,1215,1180,20,28,24.0,8370,Public University,February 1,3.2,74,7.0,1.0,5548-10499,19.0,http://unomaha.edu/
Wayne State College,1048,1296,1184,19,24,20.5,7970,Public College,Rolling,3.3,70,6.0,0.0,5624-9976,24.0,http://wsc.edu/
Saint Anselm College,1090,1270,1183,21,28,24.5,46810,Private College,January 15,3.26,75,6.5,1.0,6237-17076,40.0,http://anselm.edu/
Antioch University New England,932,1207,1068,18,28,21.0,24400,Public University,June 1,3.07,74,6.5,1.0,4923-10935,19.0,http://antiochne.edu/
Community College System of New Hampshire,977,1181,1089,18,19,18.5,50000,Public Community College,June 1,2.33,69,6.0,1.0,1502-2820,14.0,http://ccsnh.edu/
Colby Sawyer College,1003,1333,1151,24,30,25.0,18400,Private College,January 15,3.62,77,6.5,1.0,6936-14277,26.0,http://colby-sawyer.edu/
Dartmouth College,1500,1570,1533,24,29,24.5,65739,Private College,June 1,3.63,80,6.5,1.0,7827-16434,29.0,http://dartmouth.edu/
Phillips Exeter Academy,1022,1266,1149,21,27,25.0,12860,Public University,January 15,3.36,73,6.5,1.0,5568-11811,25.0,http://exeter.edu/
Granite State College,1099,1320,1198,18,26,20.0,10690,Public,Rolling,3.01,80,6.0,1.0,2829-5894,25.0,http://granite.edu/
Keene State College,999,1214,1104,17,25,23.0,14710,Public College,July 1,3.42,71,7.0,1.0,4535-10476,19.0,http://keene.edu/
Manchester Community College,824,1068,941,15,22,20.5,7090,Public Community College,January 15,2.21,66,6.0,0.0,1332-2432,12.0,http://mccnh.edu/
Mount Washington College,1029,1362,1208,22,31,27.5,37330,Private College,Rolling,3.52,86,6.0,1.0,7254-15044,35.0,http://mountwashington.edu/
Nashua Community College,970,1139,1046,16,24,18.0,7140,Public Community College,March 1,2.32,68,5.5,0.0,1768-2891,14.0,http://nashuacc.edu/
New England College,1075,1366,1206,21,26,23.5,41578,Private College,2025-08-20,3.49,80,6.5,1.0,8308-13846,38.0,http://nec.edu/
NHTI Concord’s Community College,977,1218,1112,16,19,16.5,7200,Public Community College,June 1,2.48,69,6.0,0.0,1154-2376,16.0,http://nhti.edu/
Plymouth State University,987,1271,1114,19,23,20.0,14558,Public University,July 1,3.35,77,7.0,1.0,2056-7766,18.0,http://plymouth.edu/
Rivier University,1097,1240,1188,21,29,25.0,37791,Private,January 15,3.61,87,6.5,1.0,6636-10707,36.0,http://rivier.edu/
Southern New Hampshire University,988,1166,1092,17,29,25.0,16450,Public University,March 1,2.98,75,6.0,1.0,5275-7299,15.0,http://snhu.edu/
University of New Hampshire,949,1340,1164,18,23,18.5,11310,Public University,March 1,2.94,77,6.0,1.0,5690-8602,21.0,http://unh.edu/
White Mountains Community College,881,992,926,18,22,20.0,7050,Public Community College,January 15,2.33,72,6.0,0.0,1164-2662,12.0,http://wmcc.edu/
Atlantic Cape Community College,878,1067,974,18,19,18.5,4863,Public Community College,June 1,2.48,75,6.0,1.0,1788-2649,13.0,http://atlantic.edu/
Burlington County College,1021,1369,1182,20,31,24.5,4968,Private College,January 15,3.34,75,6.5,1.0,7511-16295,40.0,http://bcc.edu/
Bergen Community College,800,978,894,17,19,17.5,4757,Public Community College,June 1,2.33,63,6.0,1.0,958-2381,16.0,http://bergen.edu/
Brookdale Community College,924,1156,1052,15,23,21.0,5921,Public Community College,February 1,2.22,73,6.5,1.0,1418-2217,14.0,http://brookdalecc.edu/
Centenary College of New Jersey,1121,1372,1242,23,26,25.5,27350,Private College,June 1,3.55,80,6.5,1.0,5534-14033,29.0,http://centenarycollege.edu/
Drew University,1110,1320,1247,18,27,20.5,45360,Public University,January 15,2.98,81,6.5,0.0,5245-8446,15.0,http://drew.edu/
Eastwick College,1145,1412,1286,24,31,25.5,14846,Private College,February 1,3.28,78,7.0,1.0,7421-17031,27.0,http://eastwickcollege.edu/
Fairleigh Dickinson University,1074,1171,1128,20,22,21.0,35822,Public University,February 1,3.09,84,7.0,1.0,3686-8964,18.0,http://fdu.edu/
Felician College,1093,1392,1236,23,29,28.0,5000,Private College,Rolling,3.17,90,6.0,1.0,8298-19124,39.0,http://felician.edu/
Fortis Institute,950,1226,1097,21,22,21.5,10160,Public University,June 1,2.85,84,6.5,1.0,4634-7646,15.0,http://fortis.edu/
Georgian Court University,1014,1346,1191,17,24,22.5,37110,Public University,February 1,3.34,70,7.0,1.0,4819-9650,15.0,http://georgian.edu/
Kean University,1020,1198,1150,19,29,23.0,13426,Public University,March 1,3.2,83,6.0,1.0,3241-7437,21.0,http://kean.edu/
Mercer County Community  College,1042,1233,1156,24,29,24.5,5082,Private College,Rolling,3.38,86,6.0,1.0,8804-19273,35.0,http://mccc.edu/
Middlesex County College,1140,1417,1290,22,30,27.0,22730,Private College,June 1,3.43,88,6.5,1.0,6344-14168,37.0,http://middlesexcc.edu/
Monmouth University,1160,1253,1186,20,30,24.0,30120,Private,July 1,3.42,550,7.0,1.0,8909-20184,34.0,http://monmouth.edu/
Montclair State University,1046,1189,1118,17,23,22.0,30680,Public,2025-12-01,3.0,77,6.5,1.0,2829-6210,23.0,http://montclair.edu/
New Jersey City University,1029,1171,1089,18,22,18.5,13971,Public University,February 1,3.17,76,7.0,1.0,5493-9025,21.0,http://njcu.edu/
New Jersey Institute of Technology,1210,1470,1336,19,28,22.5,19022,Public,2025-11-15,2.99,79,6.0,1.0,3386-7603,25.0,http://njit.edu/
Ocean County College,1057,1225,1151,22,32,28.0,4690,Private College,January 15,3.53,87,6.5,1.0,6742-16486,36.0,http://ocean.edu/
Princeton University,1500,1580,1535,20,24,22.0,59710,Public University,Rolling,3.47,70,6.0,1.0,3992-7096,23.0,http://princeton.edu/
Princeton Theological Seminary,952,1337,1148,18,28,21.0,8050,Public University,2025-04-15,2.83,82,6.0,1.0,2118-8090,19.0,http://ptsem.edu/
Ramapo College of New Jersey,1120,1270,1190,21,30,25.5,15978,Private College,March 1,3.38,81,6.0,1.0,7858-18384,30.0,http://ramapo.edu/
Raritan Valley Community College,821,926,876,17,22,18.5,5520,Public Community College,2025-01-01,2.6,78,6.0,1.0,1746-3420,13.0,http://raritanval.edu/
Rider University,1100,1310,1219,22,31,27.5,38900,Private,July 1,3.31,87,7.0,1.0,7623-12445,36.0,http://rider.edu/
Rowan University,1100,1310,1216,18,28,21.0,15700,Public University,June 1,2.99,82,6.5,1.0,5459-9392,22.0,http://rowan.edu/
Rutgers University,1010,1255,1118,21,26,24.5,17079,Public,2025-10-01,2.8,80,6.0,1.0,3323-7597,17.0,http://rutgers.edu/
Seton Hall University,1220,1400,1308,23,27,26.5,51370,Private,2025-07-25,3.66,75,6.0,1.0,6339-16127,40.0,http://shu.edu/
Stenotech Career Institute,989,1341,1163,18,23,18.5,8020,Public University,2025-12-07,3.2,77,6.5,1.0,4091-8882,22.0,http://stenotech.edu/
Stevens Institute of Technology,1370,1500,1447,17,29,25.0,60952,Public University,January 15,2.99,75,6.5,1.0,4316-7838,23.0,http://stevens.edu/
Stockton College,1080,1260,1171,20,27,22.5,15532,Private College,July 1,3.22,89,7.0,1.0,5079-16855,38.0,http://stockton.edu/
Sussex County Community College,812,998,917,18,22,20.0,5544,Public Community College,January 15,2.36,66,6.0,1.0,1288-2800,10.0,http://sussex.edu/
The College of New Jersey,1140,1340,1247,23,27,26.5,18685,Private College,2025-02-01,3.36,77,7.0,1.0,7767-12928,26.0,http://tcnj.edu/
Thomas Edison State College,1094,1198,1126,18,27,20.5,6638,Public College,January 15,3.02,81,6.5,1.0,4054-6832,25.0,http://tesc.edu/
William Paterson University,980,1169,1084,17,22,21.5,15150,Public,June 1,3.24,76,6.5,1.0,4123-8569,17.0,http://wpunj.edu/
County College of Morris,1139,1232,1180,22,28,26.0,6210,Private College,February 1,3.25,80,7.0,1.0,5859-14374,29.0,http://ccm.edu/
Camden County College,1104,1360,1250,22,26,25.0,3960,Private College,June 1,3.52,82,6.5,1.0,7452-15636,31.0,http://camdencc.edu/
Passaic County Community College,862,1067,968,18,21,19.5,5580,Public Community College,Rolling,2.47,77,5.5,1.0,852-2192,15.0,http://pccc.edu/
Ross University,941,1201,1056,20,22,21.0,15980,Public University,June 1,3.24,84,6.5,1.0,2110-7177,23.0,http://rossu.edu/
Central New Mexico,952,1182,1081,20,25,22.5,1934,Public University,March 1,3.46,79,6.0,1.0,5802-10040,19.0,http://cnm.edu/
Eastern New Mexico University,850,1070,965,17,28,24.5,6863,Public University,June 1,3.42,82,6.5,1.0,5847-8703,18.0,http://enmu.edu/
New Mexico Highlands University,1036,1327,1180,21,24,23.5,7260,Public University,Rolling,3.14,78,6.0,1.0,3554-5887,25.0,http://nmhu.edu/
New Mexico State University,976,1360,1185,20,26,23.0,2322,Public University,Rolling,3.24,72,6.0,1.0,4218-8828,25.0,http://nmsu.edu/
New Mexico State University Alamogordo,927,1208,1054,17,24,22.5,2616,Public University,February 1,3.02,70,7.0,1.0,4773-10645,17.0,http://nmsua.edu/
New Mexico Institute of Mining and Technology,1040,1290,1182,21,26,24.5,9058,Public,2025-05-01,3.1,79,6.5,1.0,5265-9898,22.0,http://nmt.edu/
Northern New Mexico College,1006,1233,1128,24,27,24.5,6400,Private College,Rolling,3.47,84,6.0,1.0,6585-15008,33.0,http://nnmc.edu/
San Juan College,1015,1250,1114,24,27,24.5,1790,Private College,February 1,3.43,90,7.0,1.0,5791-14837,39.0,http://sanjuancollege.edu/
