University,Institution_Type,City,State,Location,US_News_Ranking_2025,Data_Quality,Acceptance_Rate_Pct,Bach_SAT_25th,Bach_SAT_75th,Bach_SAT_Midpoint,Bach_ACT_25th,Bach_ACT_75th,Bach_ACT_Midpoint,Bach_SAT_ACT_Policy,Bach_Avg_GPA_Admitted,Bach_TOEFL_Min,Bach_IELTS_Min,Bach_Tuition_InState_USD,Bach_Tuition_OutOfState_USD,Bach_Annual_Tuition_USD,Bach_Application_Deadline,Scholarship_Financial_Aid,Masters_Programs_Offered,Masters_Min_GPA_Recommended,Masters_GRE_Policy,Masters_Avg_GRE_Verbal,Masters_Avg_GRE_Quant,Masters_TOEFL_Min,Masters_IELTS_Min,Masters_Annual_Tuition_USD,Masters_Application_Deadline,Masters_LOR_Count,Masters_SOP_Required,TOEFL_IELTS_Source,Data_Source,Official_URL
Hartnell College,Public Community College,Salinas,CA,"Salinas, CA",Unranked,Estimated (type-based),83.6,845.0,955.0,900.0,17.0,20.0,18.0,Not required (open admission),N/A (Open Admission),61.0,5.5,1400,10400,10400,August 1,Need-based aid; local foundation scholarships,No,0.0,Not applicable,0.0,0.0,66.0,6.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.hartnell.edu/
Harvey Mudd College,Private University (Nonprofit),Claremont,CA,"Claremont, CA",Unranked,Estimated (SAT-based),12.7,1500.0,1570.0,1540.0,34.0,36.0,35.0,Required,4.02,100.0,7.0,68600,68600,68600,November 1 (ED); January 15 (RD),Need-based aid; merit scholarships available,Yes,3.5,Required for some programs; optional for others,158.0,163.0,105.0,7.5,60100.0,January 1,3.0,Yes,Estimated (SAT-tier proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.hmc.edu/
Haskell Indian Nations University,Public University,Lawrence,KS,"Lawrence, KS",Unranked,Estimated (type-based),90.4,1020.0,1160.0,1100.0,22.0,25.0,24.0,Test-Optional,3.14,79.0,6.5,600,600,600,February 1,FAFSA-based aid; merit awards available,Yes,2.75,Optional (varies by department),149.0,151.0,84.0,7.0,5000.0,December 1,3.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.haskell.edu/
Hastings College,Private University (Nonprofit),Hastings,NE,"Hastings, NE",Unranked,Estimated (SAT-based),71.7,1250.0,1390.0,1320.0,26.0,30.0,28.0,Test-Optional,3.52,84.0,6.5,37800,37800,37800,January 1,Merit scholarships and need-based aid available,Yes,3.3,Optional for most programs,153.0,158.0,89.0,7.0,31500.0,February 1,3.0,Yes,Estimated (SAT-tier proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.hastings.edu/
Hatfield's Mississippi College of Beauty Culture,Private University (For-Profit),Laurel,MS,"Laurel, MS",Unranked,Estimated (type-based),82.8,975.0,1080.0,1027.0,20.0,23.0,22.0,Not required,2.77,80.0,6.5,16900,16900,16900,Rolling admissions,Federal loans and grants; employer tuition assistance accepted,No,0.0,Not applicable,0.0,0.0,85.0,7.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://hatfieldsinc.com/
Haven University,Private University (Nonprofit),Garden Grove,CA,"Garden Grove, CA",Unranked,Estimated (type-based),66.3,1080.0,1260.0,1170.0,23.0,28.0,26.0,Test-Optional,3.24,80.0,6.5,7000,7000,7000,December 1 (ED); January 1 (RD),Institutional grants and scholarships; FAFSA required,Yes,2.75,Optional (varies by department),153.0,155.0,85.0,7.0,5900.0,December 1,3.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.haven.edu/
Hawaii Institute of Hair Design,Public Community College,Honolulu,HI,"Honolulu, HI",Unranked,Estimated (type-based),83.4,845.0,955.0,900.0,17.0,20.0,18.0,Not required (open admission),N/A (Open Admission),61.0,5.5,5200,9700,9700,Rolling admissions,FAFSA eligible; community foundation grants,No,0.0,Not applicable,0.0,0.0,66.0,6.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.hihd.edu/
Hawaii Pacific University,Private University (Nonprofit),Honolulu,HI,"Honolulu, HI",Unranked,Estimated (SAT-based),85.9,1000.0,1200.0,1100.0,19.0,27.0,23.0,Test-Optional,3.14,79.0,6.5,34400,34400,34400,January 1,Merit scholarships and need-based aid available,Yes,2.75,Not required,151.0,153.0,84.0,7.0,30800.0,January 1,3.0,Yes,Estimated (SAT-tier proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.hpu.edu/
Hawkeye Community College,Public Community College,Waterloo,IA,"Waterloo, IA",Unranked,Estimated (type-based),82.0,825.0,955.0,890.0,17.0,20.0,18.0,Not required (open admission),N/A (Open Admission),61.0,5.5,6500,6600,6600,Rolling admissions,FAFSA eligible; community foundation grants,No,0.0,Not applicable,0.0,0.0,66.0,6.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.hawkeyecollege.edu/
Hays Academy of Hair Design,Private University (For-Profit),Hays,KS,"Hays, KS",Unranked,Estimated (type-based),87.6,965.0,1080.0,1022.0,20.0,23.0,22.0,Not required,2.49,80.0,6.5,19300,19300,19300,Rolling admissions,Federal financial aid eligible; institutional payment plans,No,0.0,Not applicable,0.0,0.0,85.0,7.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.haysacademy.edu/
Hazard Community and Technical College,Public Community College,Hazard,KY,"Hazard, KY",Unranked,Estimated (type-based),85.7,840.0,970.0,905.0,17.0,20.0,18.0,Not required (open admission),N/A (Open Admission),61.0,5.5,4700,6400,6400,August 1,Federal Pell Grant eligible; state aid available,No,0.0,Not applicable,0.0,0.0,66.0,6.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://hazard.kctcs.edu/
Hazelden Betty Ford Graduate School,Private University (Nonprofit),Center City,MN,"Center City, MN",Unranked,Estimated (type-based),66.4,1110.0,1240.0,1170.0,24.0,27.0,26.0,Test-Optional,3.24,80.0,6.5,36000,36000,36000,January 1,Merit and need-based scholarships available,Yes,2.75,Not required,153.0,155.0,85.0,7.0,30600.0,January 15,2.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.hazeldenbettyford.org/education/graduate-school-addiction-studies
Hebrew College,Private University (Nonprofit),Newton,MA,"Newton, MA",Unranked,Estimated (type-based),63.3,1100.0,1250.0,1160.0,24.0,27.0,26.0,Test-Optional,3.19,80.0,6.5,34400,34400,34400,November 1 (ED); January 15 (RD),Merit scholarships and need-based aid available,Yes,2.75,Not required,153.0,156.0,85.0,7.0,28200.0,December 1,3.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.hebrewcollege.edu/
Hebrew Theological College,Private University (Nonprofit),Skokie,IL,"Skokie, IL",Unranked,Estimated (type-based),57.1,1120.0,1260.0,1180.0,24.0,28.0,26.0,Test-Optional,3.22,80.0,6.5,15200,15200,15200,February 1,Institutional grants and scholarships; FAFSA required,Yes,3.0,Optional (varies by department),154.0,157.0,85.0,7.0,11600.0,December 15,3.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.htc.edu/
Helena College University of Montana,Public Community College,Helena,MT,"Helena, MT",Unranked,Estimated (type-based),88.5,810.0,930.0,870.0,16.0,19.0,18.0,Not required (open admission),N/A (Open Admission),61.0,5.5,4100,11300,11300,August 1,Need-based aid; local foundation scholarships,No,0.0,Not applicable,0.0,0.0,66.0,6.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.helenacollege.edu/
Hellenic College-Holy Cross Greek Orthodox School of Theology,Private University (Nonprofit),Brookline,MA,"Brookline, MA",Unranked,Estimated (type-based),79.6,1040.0,1180.0,1120.0,22.0,26.0,24.0,Test-Optional,3.14,80.0,6.5,22500,22500,22500,December 1 (ED); January 1 (RD),Merit and need-based scholarships available,Yes,2.75,Not required,151.0,154.0,85.0,7.0,19100.0,December 1,2.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.hchc.edu/
Henderson Community College,Public Community College,Henderson,KY,"Henderson, KY",Unranked,Estimated (type-based),85.3,835.0,940.0,887.0,17.0,20.0,18.0,Not required (open admission),N/A (Open Admission),61.0,5.5,4700,6400,6400,Rolling admissions,FAFSA eligible; community foundation grants,No,0.0,Not applicable,0.0,0.0,66.0,6.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://henderson.kctcs.edu/
Henderson State University,Public University,Arkadelphia,AR,"Arkadelphia, AR",Unranked,Estimated (type-based),70.6,1060.0,1200.0,1130.0,23.0,26.0,24.0,Test-Optional,3.12,79.0,6.5,8200,10600,10600,February 1,Need-based aid; merit scholarships; in-state tuition benefit,Yes,2.75,Not required,152.0,154.0,84.0,7.0,6200.0,February 1,3.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.hsu.edu/
Hendrix College,Private University (Nonprofit),Conway,AR,"Conway, AR",Unranked,Estimated (SAT-based),55.6,1120.0,1350.0,1240.0,23.0,31.0,27.0,Test-Optional,3.4,80.0,6.5,38200,38200,38200,January 15,Merit scholarships and need-based aid available,Yes,3.0,Optional for most programs,149.0,153.0,85.0,7.0,33500.0,December 15,3.0,Yes,Estimated (SAT-tier proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.hendrix.edu/
Hennepin Technical College,Public Community College,Brooklyn Park,MN,"Brooklyn Park, MN",Unranked,Estimated (type-based),87.6,815.0,955.0,885.0,16.0,20.0,18.0,Not required (open admission),N/A (Open Admission),61.0,5.5,5900,5900,5900,August 1,Federal Pell Grant eligible; state aid available,No,0.0,Not applicable,0.0,0.0,66.0,6.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.hennepintech.edu/
Henry Ford College,Public University,Dearborn,MI,"Dearborn, MI",Unranked,Estimated (type-based),70.4,1050.0,1200.0,1130.0,22.0,26.0,24.0,Test-Optional,3.12,79.0,6.5,3600,7800,7800,February 1,State and federal aid; merit scholarships available,Yes,2.75,Not required,152.0,154.0,84.0,7.0,5000.0,January 15,2.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.hfcc.edu/
Heritage Christian University,Private University (Nonprofit),Florence,AL,"Florence, AL",Unranked,Estimated (SAT-based),90.0,950.0,1090.0,1020.0,18.0,19.0,18.0,Test-Optional,2.94,71.0,6.0,12000,12000,12000,February 1,Merit and need-based scholarships available,Yes,2.75,Not required,150.0,152.0,76.0,6.5,10300.0,December 15,2.0,Yes,Estimated (SAT-tier proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.hcu.edu/
Herzing University-Atlanta,Private University (Nonprofit),Atlanta,GA,"Atlanta, GA",Unranked,Estimated (type-based),93.8,980.0,1130.0,1060.0,21.0,24.0,22.0,Test-Optional,3.0,80.0,6.5,13400,13400,13400,January 1,Merit and need-based scholarships available,Yes,2.75,Not required,150.0,152.0,85.0,7.0,10700.0,January 15,2.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.herzing.edu/
Herzing University-Birmingham,Private University (Nonprofit),Birmingham,AL,"Birmingham, AL",Unranked,Estimated (type-based),93.3,990.0,1140.0,1060.0,21.0,25.0,23.0,Test-Optional,3.0,80.0,6.5,13400,13400,13400,January 1,Merit and need-based scholarships available,Yes,2.75,Not required,150.0,152.0,85.0,7.0,10800.0,January 15,2.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.herzing.edu/
Herzing University-Minneapolis,Private University (Nonprofit),St. Louis Park,MN,"St. Louis Park, MN",Unranked,Estimated (type-based),93.8,1000.0,1170.0,1080.0,21.0,25.0,23.0,Test-Optional,3.07,80.0,6.5,13400,13400,13400,January 1,Merit and need-based scholarships available,Yes,2.75,Not required,150.0,152.0,85.0,7.0,11700.0,January 15,2.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.herzing.edu/
Hesston College,Private University (Nonprofit),Hesston,KS,"Hesston, KS",Unranked,Estimated (type-based),70.3,1100.0,1250.0,1170.0,24.0,27.0,26.0,Test-Optional,3.28,80.0,6.5,32900,32900,32900,December 1 (ED); January 1 (RD),Institutional grants and scholarships; FAFSA required,Yes,2.75,Optional (varies by department),153.0,155.0,85.0,7.0,29300.0,January 1,3.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.hesston.edu/
"Highland Community College (Freeport, IL)",Public Community College,Freeport,IL,"Freeport, IL",Unranked,Estimated (type-based),86.2,830.0,985.0,907.0,17.0,21.0,19.0,Not required (open admission),N/A (Open Admission),61.0,5.5,4900,7400,7400,Rolling admissions,FAFSA eligible; community foundation grants,No,0.0,Not applicable,0.0,0.0,66.0,6.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.highland.edu/
"Highland Community College (Highland, KS)",Public Community College,Highland,KS,"Highland, KS",Unranked,Estimated (type-based),86.2,845.0,970.0,907.0,17.0,20.0,18.0,Not required (open admission),N/A (Open Admission),61.0,5.5,4100,4100,4100,Rolling admissions,FAFSA eligible; community foundation grants,No,0.0,Not applicable,0.0,0.0,66.0,6.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.highlandcc.edu/
Highlands College of Montana Tech,Public Community College,Butte,MT,"Butte, MT",Unranked,Estimated (type-based),86.0,835.0,970.0,902.0,17.0,20.0,18.0,Not required (open admission),N/A (Open Admission),61.0,5.5,4100,11000,11000,August 1,Need-based aid; local foundation scholarships,No,0.0,Not applicable,0.0,0.0,66.0,6.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.mtech.edu/
Hillsborough Community College,Public University,Tampa,FL,"Tampa, FL",Unranked,Estimated (type-based),72.3,1060.0,1210.0,1140.0,23.0,26.0,24.0,Test-Optional,3.16,79.0,6.5,2500,9100,9100,Rolling admissions,Institutional merit awards; need-based grants,Yes,2.75,Not required,152.0,154.0,84.0,7.0,5800.0,Rolling / January 15,3.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.hccfl.edu/
Hillsdale Beauty College,Private University (For-Profit),Hillsdale,MI,"Hillsdale, MI",Unranked,Estimated (type-based),85.1,955.0,1085.0,1020.0,20.0,23.0,22.0,Not required,2.52,80.0,6.5,18100,18100,18100,Rolling admissions,Federal financial aid eligible; institutional payment plans,No,0.0,Not applicable,0.0,0.0,85.0,7.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.hillsdalebeautycollege.com/
Hillsdale College,Private University (Nonprofit),Hillsdale,MI,"Hillsdale, MI",Unranked,Estimated (SAT-based),20.7,1320.0,1490.0,1400.0,30.0,33.0,32.0,Required,3.75,90.0,7.0,33200,33200,33200,January 15,Need-based aid; merit scholarships available,Yes,3.3,Optional for most programs,153.0,158.0,95.0,7.5,29600.0,December 1,3.0,Yes,Estimated (SAT-tier proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.hillsdale.edu/
Hilltop Beauty School,Private University (For-Profit),Daly City,CA,"Daly City, CA",Unranked,Estimated (type-based),83.8,960.0,1105.0,1032.0,20.0,24.0,22.0,Not required,2.5,80.0,6.5,17400,17400,17400,Rolling admissions,Federal loans and grants; employer tuition assistance accepted,No,0.0,Not applicable,0.0,0.0,85.0,7.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.hilltopbeautyschool.com/
Hinds Community College,Public Community College,Raymond,MS,"Raymond, MS",Unranked,Estimated (type-based),84.8,830.0,940.0,885.0,17.0,20.0,18.0,Not required (open admission),N/A (Open Admission),61.0,5.5,4200,7300,7300,August 1,Federal Pell Grant eligible; state aid available,No,0.0,Not applicable,0.0,0.0,66.0,6.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.hindscc.edu/
Hobe Sound Bible College,Private University (Nonprofit),Hobe Sound,FL,"Hobe Sound, FL",Unranked,Estimated (type-based),66.4,1080.0,1260.0,1170.0,23.0,28.0,26.0,Test-Optional,3.24,80.0,6.5,9100,9100,9100,January 1,Institutional grants and scholarships; FAFSA required,Yes,2.75,Optional (varies by department),153.0,155.0,85.0,7.0,7700.0,February 1,3.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://hsbc.edu/
Hohokus School of Trade and Technical Sciences,Private University (For-Profit),Paterson,NJ,"Paterson, NJ",Unranked,Estimated (type-based),87.7,965.0,1100.0,1032.0,20.0,24.0,22.0,Not required,2.54,80.0,6.5,19400,19400,19400,Rolling admissions,Title IV federal aid eligible,No,0.0,Not applicable,0.0,0.0,85.0,7.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.hohokus.edu/
Hollywood Institute of Beauty Careers,Private University (For-Profit),Hollywood,FL,"Hollywood, FL",Unranked,Estimated (type-based),85.4,965.0,1080.0,1022.0,20.0,23.0,22.0,Not required,2.43,80.0,6.5,18200,18200,18200,Rolling admissions,Federal loans and grants; employer tuition assistance accepted,No,0.0,Not applicable,0.0,0.0,85.0,7.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.hi.edu/
Holmes Community College,Public Community College,Goodman,MS,"Goodman, MS",Unranked,Estimated (type-based),83.5,860.0,980.0,920.0,18.0,21.0,20.0,Not required (open admission),N/A (Open Admission),61.0,5.5,3700,6600,6600,Rolling admissions,FAFSA eligible; community foundation grants,No,0.0,Not applicable,0.0,0.0,66.0,6.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.holmescc.edu/
Holy Apostles College and Seminary,Private University (Nonprofit),Cromwell,CT,"Cromwell, CT",Unranked,Estimated (type-based),65.3,1080.0,1230.0,1170.0,23.0,27.0,25.0,Test-Optional,3.23,80.0,6.5,9600,9600,9600,January 15,Merit scholarships and need-based aid available,Yes,2.75,Not required,153.0,156.0,85.0,7.0,7800.0,December 15,3.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.holyapostles.edu/
Holy Cross College,Private University (Nonprofit),Notre Dame,IN,"Notre Dame, IN",Unranked,Estimated (type-based),75.2,1070.0,1210.0,1130.0,23.0,26.0,24.0,Test-Optional,3.15,80.0,6.5,36600,36600,36600,December 1 (ED); January 1 (RD),Institutional grants and scholarships; FAFSA required,Yes,2.75,Optional (varies by department),152.0,154.0,85.0,7.0,30900.0,January 15,3.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.hcc-nd.edu/
Holy Name Medical Center-Sister Claire Tynan School of Nursing,Public Community College,Englewood Cliffs,NJ,"Englewood Cliffs, NJ",Unranked,Estimated (type-based),20.0,860.0,990.0,925.0,18.0,21.0,20.0,Not required (open admission),N/A (Open Admission),61.0,5.5,23900,23900,23900,Rolling admissions,Federal Pell Grant eligible; state aid available,No,0.0,Not applicable,0.0,0.0,66.0,6.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://holyname.org/SchoolofNursing
Holyoke Community College,Public Community College,Holyoke,MA,"Holyoke, MA",Unranked,Estimated (type-based),82.1,840.0,945.0,892.0,17.0,20.0,18.0,Not required (open admission),N/A (Open Admission),61.0,5.5,6000,10900,10900,August 1,Need-based aid; local foundation scholarships,No,0.0,Not applicable,0.0,0.0,66.0,6.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.hcc.edu/
Honolulu Community College,Public Community College,Honolulu,HI,"Honolulu, HI",Unranked,Estimated (type-based),88.4,830.0,965.0,897.0,17.0,20.0,18.0,Not required (open admission),N/A (Open Admission),61.0,5.5,3200,8300,8300,August 1,FAFSA eligible; community foundation grants,No,0.0,Not applicable,0.0,0.0,66.0,6.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.honolulu.hawaii.edu/
Hood College,Private University (Nonprofit),Frederick,MD,"Frederick, MD",Unranked,Estimated (type-based),77.8,1060.0,1220.0,1130.0,23.0,27.0,25.0,Test-Optional,3.17,80.0,6.5,47700,47700,47700,January 1,Need-based aid; merit scholarships available,Yes,2.75,Not required,152.0,154.0,85.0,7.0,40800.0,December 15,3.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.hood.edu/
Hope College,Private University (Nonprofit),Holland,MI,"Holland, MI",Unranked,Estimated (SAT-based),79.2,1100.0,1340.0,1220.0,25.0,31.0,28.0,Test-Optional,3.35,80.0,6.5,42000,42000,42000,December 1 (ED); January 1 (RD),Merit and need-based scholarships available,Yes,3.0,Optional for most programs,149.0,153.0,85.0,7.0,35900.0,February 1,2.0,Yes,Estimated (SAT-tier proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://hope.edu/
Hope International University,Private University (Nonprofit),Fullerton,CA,"Fullerton, CA",Unranked,Estimated (SAT-based),33.0,840.0,1220.0,1030.0,13.0,19.0,16.0,Test-Optional,2.91,71.0,6.0,38000,38000,38000,January 1,Merit and need-based scholarships available,Yes,2.75,Not required,157.0,160.0,76.0,6.5,30600.0,January 15,3.0,Yes,Estimated (SAT-tier proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.hiu.edu/
Hopkinsville Community College,Public Community College,Hopkinsville,KY,"Hopkinsville, KY",Unranked,Estimated (type-based),83.8,820.0,965.0,892.0,17.0,20.0,18.0,Not required (open admission),N/A (Open Admission),61.0,5.5,4700,6400,6400,Rolling admissions,Federal Pell Grant eligible; state aid available,No,0.0,Not applicable,0.0,0.0,66.0,6.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://hopkinsville.kctcs.edu/index.aspx
Hot Springs Beauty College,Private University (For-Profit),Hot Springs,AR,"Hot Springs, AR",Unranked,Estimated (type-based),87.2,955.0,1080.0,1017.0,20.0,23.0,22.0,Not required,2.63,80.0,6.5,19100,19100,19100,Rolling admissions,Title IV federal aid eligible,No,0.0,Not applicable,0.0,0.0,85.0,7.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://hotspringsbeautycollege.com/
House of Heavilin Beauty College-Blue Springs,Private University (For-Profit),Blue Springs,MO,"Blue Springs, MO",Unranked,Estimated (type-based),86.2,950.0,1095.0,1022.0,20.0,23.0,22.0,Not required,2.4,80.0,6.5,18600,18600,18600,Rolling admissions,Title IV federal aid eligible,No,0.0,Not applicable,0.0,0.0,85.0,7.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://kc-hair.com/
House of Heavilin Beauty College-Kansas City,Private University (For-Profit),Kansas City,MO,"Kansas City, MO",Unranked,Estimated (type-based),86.2,950.0,1075.0,1012.0,20.0,23.0,22.0,Not required,2.47,80.0,6.5,18600,18600,18600,Rolling admissions,Title IV federal aid eligible,No,0.0,Not applicable,0.0,0.0,85.0,7.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://kc-hair.com/
Howard Community College,Public Community College,Columbia,MD,"Columbia, MD",Unranked,Estimated (type-based),83.2,835.0,970.0,902.0,17.0,20.0,18.0,Not required (open admission),N/A (Open Admission),61.0,5.5,4100,9600,9600,Rolling admissions,Need-based aid; local foundation scholarships,No,0.0,Not applicable,0.0,0.0,66.0,6.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.howardcc.edu/
Howard University,Private University (Nonprofit),Washington,DC,"Washington, DC",Unranked,Estimated (SAT-based),41.3,1090.0,1320.0,1200.0,22.0,28.0,25.0,Test-Optional,3.28,80.0,6.5,35800,35800,35800,January 1,Institutional grants and scholarships; FAFSA required,Yes,3.0,Optional for most programs,149.0,153.0,85.0,7.0,29400.0,December 1,3.0,Yes,Estimated (SAT-tier proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.howard.edu/
Hudson County Community College,Public Community College,Jersey City,NJ,"Jersey City, NJ",Unranked,Estimated (type-based),87.5,840.0,990.0,915.0,17.0,21.0,19.0,Not required (open admission),N/A (Open Admission),61.0,5.5,5400,9200,9200,August 1,FAFSA eligible; community foundation grants,No,0.0,Not applicable,0.0,0.0,66.0,6.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.hccc.edu/
