University,City,State,Location,SAT_Min,SAT_Max,SAT_Avg,ACT_Min,ACT_Max,ACT_Avg,Tuition_USD,Institution_Type,Deadline,Average_GPA,TOEFL_Min,IELTS_Min,Scholarship_Mentioned,Scholarship_Amount_Examples,Scholarship_Percentages,URL,GPA_Min
Lasell University,Newton,MA,"Newton, MA",1030,1160,1090,15,21,18,27000,Private University,1-Jan,3.06,79,6.5,1,1104-2112,22,https://www.lasell.edu/,2.75
Lassen Community College,Susanville,CA,"Susanville, CA",815,955,885,16,20,18,9300,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.lassencollege.edu/,0
Latin American Bible Institute,La Puente,CA,"La Puente, CA",1140,1300,1210,25,29,27,14000,Private University,1-Jan,3.31,80,6.5,1,1104-2112,22,https://labi.edu/,3
Lawrence Memorial Hospital School of Nursing,Medford,MA,"Medford, MA",850,995,922,17,21,19,31000,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.lmregis.org/,0
Lawrence Technological University,Southfield,MI,"Southfield, MI",1100,1240,1180,24,27,26,44800,Private University,1-Jan,3.22,80,6.5,1,2517-9114,15,http://ltu.edu/,3
Lawson State Community College,Birmingham,AL,"Birmingham, AL",850,965,907,17,20,18,8900,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.lawsonstate.edu/,0
Leeward Community College,Pearl City,HI,"Pearl City, HI",830,955,892,17,20,18,8400,Public Community College,1-Aug,3.17,61,5.5,1,1104-2112,22,https://www.leeward.hawaii.edu/,0
Lesley University,Cambridge,MA,"Cambridge, MA",960,1120,1050,20,24,22,34300,Private University,15-Jan,2.98,80,6.5,1,3683-9917,18,http://lesley.edu/,2.75
Lewis University,Romeoville,IL,"Romeoville, IL",960,1210,1080,20,27,24,39200,Private University,1-Jan,3.08,79,6.5,1,3939-10225,23,http://lewisu.edu/,2.75
Lewis and Clark Community College,Godfrey,IL,"Godfrey, IL",840,965,902,17,20,18,7800,Public Community College,Rolling,3.17,61,5.5,1,1396-2916,13,http://lc.edu/,0
Lewis-Clark State College,Lewiston,ID,"Lewiston, ID",1040,1160,1100,22,25,24,22000,Public University,1-Feb,3.11,79,6.5,1,1104-2112,22,https://www.lcsc.edu/,2.75
Lex La-Ray Technical Center,Lexington,MO,"Lexington, MO",1100,1270,1180,24,28,26,22700,Public University,1-Feb,3.29,79,6.5,1,1104-2112,22,https://www.lexlaray.com/,0
Lexington Theological Seminary,Lexington,KY,"Lexington, KY",1090,1240,1160,23,27,25,33800,Private University,1-Jan,3.18,80,6.5,1,1104-2112,22,https://www.lextheo.edu/,2.75
Life Chiropractic College West,Hayward,CA,"Hayward, CA",1080,1240,1170,23,27,25,37100,Private University,1-Jan,3.26,80,6.5,1,8460-19560,36,http://lifewest.edu/,2.75
Life Pacific University,San Dimas,CA,"San Dimas, CA",980,1150,1070,21,25,23,22100,Private University,1-Jan,3.06,80,6.5,1,1104-2112,22,https://lifepacific.edu/,2.75
Life University,Marietta,GA,"Marietta, GA",920,1130,1020,17,20,18,15000,Private University,1-Jan,2.98,71,6,1,2057-7681,23,http://life.edu/,2.75
Lincoln College of Technology-Columbia,Columbia,MD,"Columbia, MD",835,950,892,17,20,18,9700,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.lincolntech.edu/campus/columbia-md,0
Lincoln College of Technology-Denver,Denver,CO,"Denver, CO",840,955,897,17,20,18,9700,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.lincolntech.edu/campus/denver-co,0
Lincoln College of Technology-Indianapolis,Indianapolis,IN,"Indianapolis, IN",830,935,882,17,19,18,9700,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.lincolntech.edu/campus/indianapolis-in,0
Lincoln College of Technology-Melrose Park,Melrose Park,IL,"Melrose Park, IL",835,970,902,17,20,18,9700,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.lincolntech.edu/campus/melrose-park-il,0
Lincoln Land Community College,Springfield,IL,"Springfield, IL",860,995,927,18,21,20,10500,Public Community College,Rolling,3.17,61,5.5,1,1042-2286,16,http://llcc.edu/,0
Lincoln Technical Institute-East Windsor,East Windsor,CT,"East Windsor, CT",945,1070,1007,20,23,22,17300,Private University,Rolling,2.49,80,6.5,1,1104-2112,22,https://www.lincolntech.edu/campus/east-windsor-ct,0
Lincoln Technical Institute-Iselin,Iselin,NJ,"Iselin, NJ",945,1065,1005,20,23,22,17300,Private University,Rolling,2.62,80,6.5,1,1104-2112,22,https://www.lincolntech.edu/campus/edison-nj,0
Lincoln Technical Institute-New Britain,New Britain,CT,"New Britain, CT",955,1090,1022,20,23,22,17300,Private University,Rolling,2.52,80,6.5,1,1104-2112,22,https://www.lincolntech.edu/campus/new-britain-ct,0
Lincoln Technical Institute-South Plainfield,South Plainfield,NJ,"South Plainfield, NJ",830,955,892,17,20,18,9700,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.lincolntech.edu/campus/south-plainfield-nj,0
Lincoln Technical Institute-Union,Union,NJ,"Union, NJ",930,1040,985,19,22,20,17300,Private University,Rolling,2.52,80,6.5,1,1104-2112,22,https://www.lincolntech.edu/campus/union-nj,0
"Lincoln University (Jefferson City, MO)",Jefferson City,MO,"Jefferson City, MO",1050,1220,1140,22,27,24,17700,Public University,Rolling,3.19,79,6.5,1,1104-2112,22,https://www.lincolnu.edu/,2.75
"Lincoln University (Oakland, CA)",Oakland,CA,"Oakland, CA",1080,1240,1170,23,27,25,13200,Private University,15-Jan,3.25,80,6.5,1,1104-2112,22,https://lincolnuca.edu/,2.75
Lindenwood University,Saint Charles,MO,"Saint Charles, MO",1120,1260,1190,22,28,25,21600,Private University,1-Jan,3.33,80,6.5,1,4997-7451,25,http://lindenwood.edu/,3
Lindsey Hopkins Technical College,Miami,FL,"Miami, FL",825,955,890,17,20,18,10500,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.lindseyhopkins.edu/,0
Lindsey Wilson College,Columbia,KY,"Columbia, KY",1090,1220,1160,23,27,25,27800,Private University,1-Jan,3.18,80,6.5,1,5544-14268,40,http://lindsey.edu/,2.75
Little Big Horn College,Crow Agency,MT,"Crow Agency, MT",845,985,915,17,21,19,3200,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.lbhc.edu/,0
Lively Technical College,Tallahassee,FL,"Tallahassee, FL",1060,1220,1140,23,27,25,22100,Public University,1-Feb,3.18,79,6.5,1,1104-2112,22,https://www.livelytech.com/,0
Logan University,Chesterfield,MO,"Chesterfield, MO",1110,1240,1170,24,27,26,9000,Private University,15-Jan,3.23,80,6.5,1,1104-2112,22,https://www.logan.edu/,2.75
Loma Linda University,Loma Linda,CA,"Loma Linda, CA",1070,1220,1160,23,27,25,33600,Private University,1-Feb,3.17,80,6.5,1,3966-6062,19,http://llu.edu/,2.75
Long Beach City College,Long Beach,CA,"Long Beach, CA",820,960,890,17,20,18,12500,Public Community College,1-Aug,3.17,61,5.5,1,8540-17912,25,http://lbcc.edu/,0
Longy School of Music of Bard College,Cambridge,MA,"Cambridge, MA",1120,1280,1210,24,28,26,55300,Private University,15-Jan,3.32,80,6.5,1,1104-2112,22,https://longy.edu/,2.75
Loraines Academy & Spa,Saint Petersburg,FL,"Saint Petersburg, FL",965,1090,1027,20,23,22,18900,Private University,Rolling,2.64,80,6.5,1,1104-2112,22,https://www.genesiscareer.edu/loraines-academy-spa-st-petersburg-fl/,0
Loras College,Dubuque,IA,"Dubuque, IA",1000,1140,1070,21,25,23,39800,Private University,1-Feb,3.08,80,6.5,1,5587-14694,26,http://loras.edu/,2.75
Lorenzo Walker Technical College,Naples,FL,"Naples, FL",1060,1240,1150,23,27,25,23500,Public University,Rolling,3.26,79,6.5,1,1104-2112,22,https://lwtc.edu/,0
Los Angeles City College,Los Angeles,CA,"Los Angeles, CA",855,965,910,17,20,18,10600,Public Community College,Rolling,3.17,61,5.5,1,7292-13569,33,http://lacitycollege.edu/,0
Los Angeles County College of Nursing and Allied Health,Los Angeles,CA,"Los Angeles, CA",820,950,885,17,20,18,10500,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://dhs.lacounty.gov/college-of-nursing-and-allied-health/,0
Los Angeles Harbor College,Wilmington,CA,"Wilmington, CA",815,940,877,16,20,18,10600,Public Community College,Rolling,3.17,61,5.5,1,5399-12950,29,http://lahc.edu/,0
Los Angeles Mission College,Sylmar,CA,"Sylmar, CA",1070,1210,1140,23,26,24,10600,Public University,1-Feb,3.18,79,6.5,1,5455-12345,27,http://lamission.edu/,2.75
Los Angeles Pierce College,Woodland Hills,CA,"Woodland Hills, CA",865,990,927,18,21,20,10600,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.lapc.edu/,0
Los Angeles Southwest College,Los Angeles,CA,"Los Angeles, CA",840,965,902,17,20,18,10600,Public Community College,Rolling,3.17,61,5.5,1,6526-11356,33,http://lasc.edu/,0
Los Angeles Trade Technical College,Los Angeles,CA,"Los Angeles, CA",815,945,880,16,20,18,10600,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.lattc.edu/,0
Los Angeles Valley College,Valley Glen,CA,"Valley Glen, CA",1070,1230,1140,23,27,25,10600,Public University,1-Mar,3.19,79,6.5,1,7465-11560,33,http://lavc.edu/,2.75
Los Medanos College,Pittsburg,CA,"Pittsburg, CA",835,980,907,17,21,19,10300,Public Community College,Rolling,3.17,61,5.5,1,5850-14721,28,http://losmedanos.edu/,0
Louisiana Academy of Beauty,Eunice,LA,"Eunice, LA",960,1085,1022,20,23,22,18400,Private University,Rolling,2.59,80,6.5,1,1104-2112,22,https://www.louisianaacademyofbeauty.com/,0
Louisiana Christian University,Pineville,LA,"Pineville, LA",1060,1240,1150,23,27,25,20300,Private University,1-Jan,3.24,80,6.5,1,1104-2112,22,https://www.lcuniversity.edu/,2.75
Louisiana State University Health Sciences Center-New Orleans,New Orleans,LA,"New Orleans, LA",1060,1200,1130,23,26,24,20600,Public University,15-Jan,3.1,79,6.5,1,1104-2112,22,https://www.lsuhsc.edu/,2.75
Louisiana State University and Agricultural & Mechanical College,Baton Rouge,LA,"Baton Rouge, LA",1180,1340,1260,24,30,27,28600,Public University,15-Jan,3.36,84,6.5,1,1104-2112,22,https://www.lsu.edu/,3
Louisiana State University-Alexandria,Alexandria,LA,"Alexandria, LA",970,1220,1100,17,22,20,14600,Public University,15-Jan,3.03,79,6.5,1,1104-2112,22,https://www.lsua.edu/,2.75
Louisiana State University-Eunice,Eunice,LA,"Eunice, LA",845,980,912,17,21,19,10100,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.lsue.edu/,0
Louisiana State University-Shreveport,Shreveport,LA,"Shreveport, LA",1000,1200,1100,18,24,21,7500,Public University,15-Jan,3.04,79,6.5,1,1104-2112,22,https://www.lsus.edu/,2.75
Louisiana Tech University,Ruston,LA,"Ruston, LA",1100,1310,1200,21,27,24,16900,Public University,Rolling,3.34,80,6.5,1,4974-10334,18,http://latech.edu/,3
Louisville Presbyterian Theological Seminary,Louisville,KY,"Louisville, KY",1110,1250,1170,24,27,26,37700,Private University,1-Jan,3.27,80,6.5,1,1104-2112,22,https://www.lpts.edu/,2.75
Lowell Academy Hairstyling Institute,Lowell,MA,"Lowell, MA",950,1050,1000,20,22,21,19200,Private University,Rolling,2.68,80,6.5,1,1104-2112,22,https://www.lowellacademy.com/,0
Loyola Marymount University,Los Angeles,CA,"Los Angeles, CA",1260,1430,1340,28,32,30,62400,Private University,1-Jan,3.6,84,6.5,1,6308-17466,31,http://lmu.edu/,3.3
Loyola University Chicago,Chicago,IL,"Chicago, IL",1170,1360,1260,27,32,30,53700,Private University,1-Jan,3.39,84,6.5,1,4539-10852,16,http://luc.edu/,3
Loyola University Maryland,Baltimore,MD,"Baltimore, MD",1200,1370,1280,28,32,30,57200,Private University,1-Jan,3.44,84,6.5,1,2035-7532,25,http://loyola.edu/,3
Loyola University New Orleans,New Orleans,LA,"New Orleans, LA",990,1130,1060,21,24,22,49400,Private University,1-Jan,3,80,6.5,1,2494-4895,19,http://loyno.edu/,2.75
Lu Ross Academy,Ventura,CA,"Ventura, CA",930,1065,997,19,23,21,18100,Private University,Rolling,2.67,80,6.5,1,1104-2112,22,https://www.lurossacademy.com/,0
Lurleen B Wallace Community College,Andalusia,AL,"Andalusia, AL",855,1000,927,17,21,19,9100,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.lbwcc.edu/,0
Luther College,Decorah,IA,"Decorah, IA",1080,1410,1240,22,29,26,52100,Private University,15-Jan,3.35,80,6.5,1,5800-15037,37,http://luther.edu/,3
Luther Rice College & Seminary,Lithonia,GA,"Lithonia, GA",1010,1150,1080,21,25,23,11300,Private University,1-Jan,3.06,80,6.5,1,1104-2112,22,https://www.lutherrice.edu/,2.75
Luther Seminary,Saint Paul,MN,"Saint Paul, MN",1070,1220,1160,23,27,25,34800,Private University,1-Jan,3.2,80,6.5,1,3755-7501,17,http://luthersem.edu/,2.75
Lutheran School of Theology at Chicago,Chicago,IL,"Chicago, IL",1080,1250,1170,23,27,25,35500,Private University,1-Feb,3.23,80,6.5,1,1104-2112,22,https://www.lstc.edu/,2.75
Lyle's College of  Beauty,Fresno,CA,"Fresno, CA",940,1065,1002,20,23,22,17800,Private University,Rolling,2.43,80,6.5,1,1104-2112,22,https://lylescolleges.com/,0
Lyle's College of Beauty,Bakersfield,CA,"Bakersfield, CA",940,1050,995,20,22,21,18800,Private University,Rolling,2.53,80,6.5,1,1104-2112,22,https://lylescolleges.com/,0
Lynn University,Boca Raton,FL,"Boca Raton, FL",1040,1200,1120,21,26,24,44500,Private University,1-Feb,3.19,79,6.5,1,4951-8125,22,http://lynn.edu/,2.75
Lyon College,Batesville,AR,"Batesville, AR",1120,1260,1190,24,28,26,31000,Private University,15-Jan,3.29,80,6.5,1,7150-15253,32,http://lyon.edu/,2.75
Lytles Redwood Empire Beauty College,Santa Rosa,CA,"Santa Rosa, CA",950,1070,1010,20,23,22,17400,Private University,Rolling,2.63,80,6.5,1,1104-2112,22,https://www.lytlesrebc.edu/,0
M J Murphy Beauty College of Mount Pleasant,Mount Pleasant,MI,"Mount Pleasant, MI",975,1095,1035,20,23,22,19400,Private University,Rolling,2.56,80,6.5,1,1104-2112,22,https://mjmbc.net/,0
MCPHS University,Boston,MA,"Boston, MA",1160,1420,1290,26,30,28,40500,Private University,1-Jan,3.42,84,6.5,1,1104-2112,22,https://www.mcphs.edu/,3
MGH Institute of Health Professions,Boston,MA,"Boston, MA",1090,1250,1170,23,27,25,38200,Private University,15-Jan,3.28,80,6.5,1,3342-7875,24,http://mghihp.edu/,2.75
MTI College,Sacramento,CA,"Sacramento, CA",865,980,922,18,21,20,9700,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://campus.edu/,0
Macalester College,Saint Paul,MN,"Saint Paul, MN",1350,1510,1430,30,34,32,68100,Private University,15-Jan,3.8,90,7,1,7644-16237,30,http://macalester.edu/,3.3
Macomb Community College,Warren,MI,"Warren, MI",860,1000,930,18,21,20,8400,Public Community College,Rolling,3.17,61,5.5,1,1078-2232,10,http://macomb.edu/,0
Madisonville Community College,Madisonville,KY,"Madisonville, KY",835,960,897,17,20,18,6400,Public Community College,1-Aug,3.17,61,5.5,1,1104-2112,22,https://madisonville.kctcs.edu/,0
Madonna University,Livonia,MI,"Livonia, MI",880,1080,980,12,18,15,28400,Private University,1-Feb,2.81,71,6,1,1104-2112,22,https://www.madonna.edu/,2.75
Maharishi International University,Fairfield,IA,"Fairfield, IA",1000,1150,1070,21,25,23,16500,Private University,1-Feb,3.04,80,6.5,1,1104-2112,22,https://www.miu.edu/,2.75
Maine College of Art & Design,Portland,ME,"Portland, ME",1060,1230,1150,23,27,25,42900,Private University,1-Jan,3.23,80,6.5,1,1104-2112,22,https://www.meca.edu/,2.75
Maine College of Health Professions,Lewiston,ME,"Lewiston, ME",1060,1220,1130,23,27,25,21000,Private University,1-Jan,3.13,80,6.5,1,1104-2112,22,https://www.mchp.edu/,2.75
Maine Maritime Academy,Castine,ME,"Castine, ME",1100,1260,1180,21,26,24,31100,Public University,Rolling,3.24,80,6.5,1,2718-8211,16,http://mainemaritime.edu/,3
Manatee Technical College,Bradenton,FL,"Bradenton, FL",815,940,877,16,20,18,9500,Public Community College,1-Aug,3.17,61,5.5,1,1104-2112,22,https://www.manateetech.edu/,0
Manchester Community College,Manchester,NH,"Manchester, NH",840,990,915,17,21,19,15300,Public Community College,Rolling,3.17,61,5.5,1,1332-2432,12,http://mccnh.edu/,0
Manchester University,North Manchester,IN,"North Manchester, IN",1110,1230,1170,24,27,26,37100,Private University,15-Jan,3.29,80,6.5,1,3126-9127,23,http://manchester.edu/,2.75
Manhattan Area Technical College,Manhattan,KS,"Manhattan, KS",835,970,902,17,20,18,9800,Public Community College,1-Aug,3.17,61,5.5,1,1104-2112,22,https://manhattantech.edu/,0
Manhattan Christian College,Manhattan,KS,"Manhattan, KS",950,1090,1020,18,24,21,19100,Private University,1-Jan,2.98,71,6,1,1104-2112,22,https://www.mccks.edu/,2.75
Margaret H Rollins School of Nursing at Beebe Medical Center,Lewes,DE,"Lewes, DE",1080,1240,1170,23,27,25,36800,Private University,1-Feb,3.26,80,6.5,1,1104-2112,22,https://www.beebehealthcare.org/school-nursing,0
Marian University,Indianapolis,IN,"Indianapolis, IN",980,1130,1050,21,24,22,40700,Private University,15-Jan,2.97,80,6.5,1,1104-2112,22,https://www.marian.edu/,2.75
Marion Military Institute,Marion,AL,"Marion, AL",810,930,870,16,19,18,15500,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.marionmilitary.edu/,0
Marshall B Ketchum University,Fullerton,CA,"Fullerton, CA",1070,1230,1160,23,27,25,35000,Private University,15-Jan,3.2,80,6.5,1,1104-2112,22,https://www.ketchum.edu/,2.75
Marshalltown Community College,Marshalltown,IA,"Marshalltown, IA",815,965,890,16,20,18,6500,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://mcc.iavalley.edu/,0
Martin Luther College,New Ulm,MN,"New Ulm, MN",1020,1160,1090,21,28,24,18100,Private University,1-Feb,3.04,79,6.5,1,1104-2112,22,https://www.mlc-wels.edu/,2.75
Martin University,Indianapolis,IN,"Indianapolis, IN",1100,1220,1160,24,27,26,13200,Private University,15-Jan,3.2,80,6.5,1,1104-2112,22,https://www.martin.edu/,2.75
Maryland Beauty Academy of Essex,Baltimore,MD,"Baltimore, MD",965,1075,1020,20,23,22,17100,Private University,Rolling,2.46,80,6.5,1,1104-2112,22,https://www.baltimorestudio.com/,0
Maryland Institute College of Art,Baltimore,MD,"Baltimore, MD",1080,1300,1190,25,33,29,56800,Private University,15-Jan,3.31,80,6.5,1,7449-14371,29,http://mica.edu/,3
Maryland University of Integrative Health,Laurel,MD,"Laurel, MD",1090,1240,1170,23,27,25,37200,Private University,15-Jan,3.26,80,6.5,1,3464-8481,22,http://muih.edu/,2.75
Maryville University of Saint Louis,Saint Louis,MO,"Saint Louis, MO",980,1130,1050,21,24,22,27200,Private University,15-Jan,2.97,80,6.5,1,1104-2112,22,https://www.maryville.edu/,2.75
Massachusetts Bay Community College,Wellesley Hills,MA,"Wellesley Hills, MA",820,930,875,17,19,18,10800,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.massbay.edu/,0
Massachusetts College of Art and Design,Boston,MA,"Boston, MA",1020,1170,1100,22,25,24,43400,Public University,1-Mar,3.04,79,6.5,1,7780-16537,38,http://massart.edu/,2.75
Massachusetts College of Liberal Arts,North Adams,MA,"North Adams, MA",990,1140,1060,21,25,23,21400,Public University,1-Mar,2.96,79,6.5,1,1104-2112,22,https://www.mcla.edu/,2.75
Massachusetts Institute of Technology,Cambridge,MA,"Cambridge, MA",1520,1580,1550,34,36,35,62400,Private University,1-Feb,4.02,90,6.5,1,4235-7690,23,http://mit.edu/,3.5
Massachusetts Maritime Academy,Buzzards Bay,MA,"Buzzards Bay, MA",980,1120,1060,21,24,22,23700,Public University,1-Mar,3,79,6.5,1,5992-12690,20,http://maritime.edu/,2.75
Massachusetts School of Barbering,Quincy,MA,"Quincy, MA",930,1065,997,19,23,21,17500,Private University,Rolling,2.76,80,6.5,1,1104-2112,22,https://massschoolofbarbering.com/,0
Massasoit Community College,Brockton,MA,"Brockton, MA",845,955,900,17,20,18,10300,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.massasoit.edu/,0
Mayo Clinic College of Medicine and Science,Rochester,MN,"Rochester, MN",1200,1360,1270,26,30,28,3300,Private University,1-Jan,3.46,80,6.5,1,1104-2112,22,https://college.mayo.edu/,3
Maysville Community and Technical College,Maysville,KY,"Maysville, KY",845,1000,922,17,21,19,6400,Public Community College,1-Aug,3.17,61,5.5,1,1104-2112,22,https://maysville.kctcs.edu/,0
McCormick Theological Seminary,Chicago,IL,"Chicago, IL",1090,1240,1170,23,27,25,38100,Private University,1-Jan,3.28,80,6.5,1,1104-2112,22,https://www.mccormick.edu/,2.75
McDaniel College,Westminster,MD,"Westminster, MD",1070,1200,1140,23,26,24,52100,Private University,1-Feb,3.13,80,6.5,1,8978-16034,40,http://mcdaniel.edu/,2.75
McHenry County College,Crystal Lake,IL,"Crystal Lake, IL",820,940,880,17,20,18,14400,Public Community College,1-Aug,3.17,61,5.5,1,8912-19638,33,http://mchenry.edu/,0
McKendree University,Lebanon,IL,"Lebanon, IL",1100,1250,1180,24,27,26,34700,Private University,1-Jan,3.32,80,6.5,1,5121-16879,29,http://mckendree.edu/,2.75
McNeese State University,Lake Charles,LA,"Lake Charles, LA",940,1200,1070,18,23,20,10000,Public University,1-Feb,3.02,79,6.5,1,1104-2112,22,https://www.mcneese.edu/,2.75
McPherson College,McPherson,KS,"McPherson, KS",960,1200,1080,18,23,20,37300,Private University,15-Jan,3.12,79,6.5,1,8476-19484,40,http://mcpherson.edu/,2.75
Meadville Theological School of Lombard College,Chicago,IL,"Chicago, IL",1120,1260,1180,24,28,26,38600,Private University,1-Jan,3.31,80,6.5,1,1104-2112,22,https://www.meadville.edu/,2.75
Mendocino College,Ukiah,CA,"Ukiah, CA",850,980,915,17,21,19,10000,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.mendocino.edu/,0
Menlo College,Atherton,CA,"Atherton, CA",1130,1300,1220,24,29,26,53600,Private University,15-Jan,3.38,80,6.5,1,1104-2112,22,https://www.menlo.edu/,2.75
Merced College,Merced,CA,"Merced, CA",860,1010,935,18,21,20,8500,Public Community College,1-Aug,3.17,61,5.5,1,1104-2112,22,https://www.mccd.edu/,0
Mercer County Community College,West Windsor,NJ,"West Windsor, NJ",830,955,892,17,20,18,9200,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.mccc.edu/,0
Mercer University,Macon,GA,"Macon, GA",1160,1350,1260,25,31,28,42300,Private University,1-Jan,3.38,84,6.5,1,3316-9146,17,http://mercer.edu/,3
Mercy College of Health Sciences,Des Moines,IA,"Des Moines, IA",910,1050,980,16,21,18,17700,Private University,1-Jan,2.84,71,6,1,1104-2112,22,https://www.mchs.edu/,2.75
Meridian Community College,Meridian,MS,"Meridian, MS",855,990,922,17,21,19,6500,Public Community College,1-Aug,3.17,61,5.5,1,1104-2112,22,https://www.meridiancc.edu/,0
Merrimack College,North Andover,MA,"North Andover, MA",1140,1300,1220,25,29,27,54000,Private University,1-Feb,3.38,80,6.5,1,8968-16602,37,http://merrimack.edu/,2.75
Merritt College,Oakland,CA,"Oakland, CA",840,995,917,17,21,19,9900,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.merritt.edu/,0
Merryfield Academy,Oakland Park,FL,"Oakland Park, FL",945,1050,997,20,22,21,18700,Private University,Rolling,2.55,80,6.5,1,1104-2112,22,https://www.merryfield.edu/,0
Mesa Community College,Mesa,AZ,"Mesa, AZ",1060,1230,1140,23,27,25,9000,Public University,1-Feb,3.18,79,6.5,1,1532-2979,16,http://mesacc.edu/,2.75
Mesalands Community College,Tucumcari,NM,"Tucumcari, NM",845,980,912,17,21,19,3400,Public Community College,1-Aug,3.17,61,5.5,1,1104-2112,22,https://www.mesalands.edu/,0
Methodist College,Peoria,IL,"Peoria, IL",1160,1320,1240,25,29,27,18000,Private University,15-Jan,3.33,80,6.5,1,1104-2112,22,https://www.methodistcol.edu/,3
Metropolitan College of New York,New York,NY,"New York, NY",1020,1170,1100,22,25,24,20200,Private University,1-Feb,3.14,80,6.5,1,5303-14553,36,http://mcny.edu/,2.75
Metropolitan Community College Area,Omaha,NE,"Omaha, NE",815,940,877,16,20,18,5000,Public Community College,1-Aug,3.17,61,5.5,1,1104-2112,22,https://www.mccneb.edu/,0
Metropolitan Community College-Kansas City,Kansas City,MO,"Kansas City, MO",845,965,905,17,20,18,9600,Public Community College,1-Aug,3.17,61,5.5,1,1104-2112,22,https://www.mcckc.edu/,0
Metropolitan State University,Saint Paul,MN,"Saint Paul, MN",950,1090,1020,16,21,18,9800,Public University,15-Jan,2.93,71,6,1,3703-9411,19,http://metrostate.edu/,2.75
Metropolitan State University of Denver,Denver,CO,"Denver, CO",880,1130,1000,17,26,22,30700,Public University,15-Jan,2.9,71,6,1,4891-7205,17,http://msudenver.edu/,2.75
Miami Ad School-Atlanta,Atlanta,GA,"Atlanta, GA",830,975,902,17,20,18,19400,Public Community College,1-Aug,3.17,61,5.5,1,1104-2112,22,https://miamiadschool.com/locations/atlanta/,0
Miami Dade College,Miami,FL,"Miami, FL",1080,1220,1150,23,27,25,9700,Public University,30-Nov,3.24,79,6.5,1,6516-16471,38,http://mdc.edu/,2.75
Miami Lakes Educational Center and Technical College,Miami Lakes,FL,"Miami Lakes, FL",835,970,902,17,20,18,9700,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://miamilakes.edu/,0
Michigan Career and Technical Institute,Plainwell,MI,"Plainwell, MI",1070,1220,1130,23,27,25,12400,Public University,1-Feb,3.13,79,6.5,1,1104-2112,22,https://www.michigan.gov/MCTI,0
Michigan College of Beauty-Monroe,Monroe,MI,"Monroe, MI",965,1095,1030,20,23,22,17300,Private University,Rolling,2.57,80,6.5,1,1104-2112,22,https://michigancollegebeauty.com/,0
Michigan School of Psychology,Farmington Hills,MI,"Farmington Hills, MI",1080,1250,1160,23,27,25,34300,Private University,1-Feb,3.19,80,6.5,1,1104-2112,22,https://msp.edu/,2.75
Michigan State University,East Lansing,MI,"East Lansing, MI",1180,1360,1270,25,31,28,43800,Public University,1-Feb,3.39,84,6.5,1,3654-5977,19,http://msu.edu/,3
Michigan Technological University,Houghton,MI,"Houghton, MI",1130,1350,1240,25,31,28,43000,Public University,30-Nov,3.34,80,6.5,1,5554-7702,16,http://mtu.edu/,3
Mid Michigan College,Harrison,MI,"Harrison, MI",820,930,875,17,19,18,10900,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.midmich.edu/,0
Mid-America College of Funeral Service,Jeffersonville,IN,"Jeffersonville, IN",1100,1250,1170,24,27,26,19000,Private University,1-Feb,3.26,80,6.5,1,1104-2112,22,https://www.mid-america.edu/,2.75
Mid-Plains Community College,North Platte,NE,"North Platte, NE",850,985,917,17,21,19,4500,Public Community College,1-Aug,3.17,61,5.5,1,1088-1912,13,http://mpcc.edu/,0
MidAmerica Nazarene University,Olathe,KS,"Olathe, KS",950,1090,1020,17,23,20,37200,Private University,15-Jan,2.91,71,6,1,1104-2112,22,https://www.mnu.edu/,2.75
Middlebury Institute of International Studies at Monterey,Monterey,CA,"Monterey, CA",1110,1260,1180,24,28,26,38900,Private University,15-Jan,3.32,80,6.5,1,1104-2112,22,https://www.middlebury.edu/institute/,2.75
